YEAR,MTH,CPI,PC,IR,MW,M3,SD,UR,GDP,CI,HSI,LTV,HS,SOLD,PG,LS
2020,1,-2,380,2,17,15,0,4,86,61,26313,1,2308,6110,0,0
2020,2,3,379,2,17,15,0,4,86,62,26129,1,2308,6110,0,0
2020,3,0,376,1,17,15,0,4,86,63,26603,1,2308,6110,0,0
2020,4,0,385,2,17,15,0,6,86,50,24644,1,2308,6110,0,7391
2020,5,0,386,1,17,15,0,6,86,51,22961,1,2308,6110,0,7391
2020,6,0,387,1,17,15,0,6,86,52,24427,1,2308,6110,0,7391
2020,7,-3,385,0,17,16,0,6,86,54,24595,1,2308,6110,0,0
2020,8,2,382,0,17,16,0,6,86,57,25177,1,2308,6110,0,0
2020,9,-2,383,0,17,16,0,7,86,60,23459,1,2308,6110,0,0
2020,10,3,381,0,17,16,0,7,86,60,24107,1,2308,6110,0,6026
2020,11,0,381,0,17,16,0,7,86,61,26341,1,2308,6110,0,6026
2020,12,-1,380,0,17,16,0,7,86,64,27231,1,2308,6110,0,6026
2021,1,1,382,0,17,16,0,7,86,64,28283,1,1767,8011,0,5338
2021,2,0,385,0,17,16,0,7,86,65,28980,1,1767,8011,0,5338
2021,3,0,390,0,17,16,0,7,86,67,23378,1,1767,8011,0,5338
2021,4,0,391,0,17,16,0,6,86,67,29152,1,1767,8011,0,0
2021,5,0,394,0,17,16,0,6,92,69,28724,1,1767,8011,0,0
2021,6,0,394,0,17,16,0,6,92,67,29152,1,1767,8011,0,0
2021,7,0,398,0,17,16,0,5,92,67,28828,1,1767,8011,0,0
2021,8,0,398,0,17,16,0,5,92,68,25961,1,1767,8011,0,0
2021,9,-2,398,0,17,16,0,5,92,68,25878,1,1767,8011,0,0
2021,10,3,396,0,17,16,0,4,92,63,24575,1,1767,8011,0,739
2021,11,0,394,0,17,16,0,4,92,61,25377,1,1767,8011,0,739
2021,12,0,393,0,17,16,0,4,92,59,23475,1,1767,8011,0,739
2022,1,0,391,0,17,16,0,5,92,54,23397,1,2184,4968,0,656
2022,2,1,384,0,17,17,0,5,92,53,23802,1,2184,4968,0,656
2022,3,0,381,0,17,17,0,5,92,50,22713,1,2184,4968,0,656
2022,4,0,385,0,18,16,0,5,90,54,20089,1,2184,4968,0,151
2022,5,0,386,0,18,16,0,5,90,53,21415,1,2184,4968,0,151
2022,6,0,382,1,18,16,0,5,90,51,21859,1,2184,4968,0,151
2022,7,0,377,1,18,16,0,5,90,48,20156,1,2184,4968,0,166
2022,8,0,368,2,18,16,0,4,90,46,19954,1,2184,4968,0,166
2022,9,0,360,2,18,16,0,4,90,44,17223,1,2184,4968,0,166
2022,10,0,350,3,18,16,0,4,90,35,14687,1,2184,4968,0,6819
2022,11,0,338,3,18,16,0,4,90,32,18597,1,2184,4968,0,6819
2022,12,0,335,5,18,16,0,4,90,28,19781,1,2184,4968,0,6819
2023,1,1,339,3,18,17,0,4,90,45,21842,1,2184,4968,0,0
2023,2,0,347,2,18,17,0,3,90,55,19785,1,2184,4968,0,0
2023,3,0,351,3,18,17,0,3,90,66,20400,1,2184,4968,0,0
